606026|999900|93316|550748|542050|807924|369926|209836|13404|596464
0.09200|0.15211|0.01411|0.08349|0.08241|0.12297|0.05494|0.02708|0.00190|0.07534
V|D|V|V|V|V|V|V|V|V
