10682|7586|10271|36235|27549|15364|11310|51161|16534|6782
0.00182|0.15353|0.02944|0.01910|0.03189|0.03018|0.00238|0.16155|0.31208|0.00095
V|V|V|V|V|V|V|V|V|V
