999482|128674|100350|14342|999502|167118|53110|750782|716624|514626
0.17153|0.02203|0.01728|0.00246|0.17079|0.02851|0.00908|0.12842|0.11811|0.07247
D|V|V|V|D|V|V|V|V|V
