22348|81162|172519|104270|37740|59330|47980|47974|46888|81692
0.03403|0.05827|0.08678|0.07642|0.06614|0.05441|0.00737|0.00726|0.02257|0.05801
V|V|V|V|V|V|V|V|V|V
