File: data_10.txt
BFS: 0.001976 0.000649125
DIJ: 0.00301932 0.00342238
HBFS: 0.000650626 0.000121894
HDIJ: 0.0012298 0.000308386

File: data_20.txt
BFS: 0.00397751 0.0052754
DIJ: 0.00819112 0.00522226
HBFS: 0.000888794 0.00243694
HDIJ: 0.00173266 0.000422504

File: data_30.txt
BFS: 0.00747507 0.00682678
DIJ: 0.0194345 0.0110804
HBFS: 0.000913195 0.000437815
HDIJ: 0.00207924 0.00038688

File: data_40.txt
BFS: 0.011822 0.0093274
DIJ: 0.0358621 0.0187143
HBFS: 0.00101116 0.000324865
HDIJ: 0.00260895 0.00113329

File: data_50.txt
BFS: 0.0141051 0.00842069
DIJ: 0.0472549 0.0131437
HBFS: 0.00103579 0.000325146
HDIJ: 0.00335214 0.00230096

