999482|128674|100350|14342|999502|167118|53110|750782|716624|514626
0.13181|0.01671|0.01362|0.00186|0.13031|0.02151|0.00684|0.09850|0.09335|0.06733
D|V|V|V|D|V|V|V|V|V
