10682|108342|139066|136180|62444|215254|11310|53868|118728|6782
0.00146|0.01425|0.01855|0.01756|0.00834|0.02848|0.00156|0.00722|0.01536|0.00091
V|V|V|V|V|V|V|V|V|V
