90086|102630|199893|5148|91780|99951|99943|81490|130658|91790
0.05198|0.06502|0.13110|0.04013|0.01225|0.06570|0.07787|0.02406|0.10973|0.01187
V|V|V|V|V|V|V|V|V|V
